hotel_name,hotel_id,hotel_picture
Ben Tre Riverside Resort,963857,https://pix8.agoda.net/hotelImages/963857/0/db9a1992f2ec55cbea5dbfa13e7229a9.png?ce=2&s=1024x768
KHÁCH SẠN MƯỜNG THANH LÀO CAI (Muong Thanh Grand Lao Cai Hotel ),985340,https://pix8.agoda.net/hotelImages/985/985340/985340_17021315080050987038.jpg?ca=6&ce=1&s=1024x768
Ban Thach Riverside Hotel & Resort,995573,https://pix8.agoda.net/hotelImages/995/995573/995573_16010910190038990155.jpg?ca=6&ce=1&s=1024x768
Vinpearl Resort & Spa Hạ Long (Vinpearl Resort & Spa Ha Long),1015998,https://pix8.agoda.net/hotelImages/1015998/-1/5393e9bfae5b5927c4f3f3d2dd5088d7.jpg?ce=0&s=1024x768
Muong Thanh Grand Quang Nam,1030347,https://pix8.agoda.net/hotelImages/103/1030347/1030347_16030309140040415245.jpg?ca=6&ce=1&s=1024x768
Khách sạn Mường Thanh Sài Gòn Centre (Muong Thanh Saigon Centre Hotel),1032041,https://pix8.agoda.net/hotelImages/1032041/0/244ce5be1ed68219b26b7bc5c66e39a0.jpeg?ce=2&s=1024x768
Khu nghỉ dưỡng Sheraton Phu Quoc Long Beach (Sheraton Phu Quoc Long Beach Resort),1032420,https://pix8.agoda.net/hotelImages/1032420/-1/a38b22a8891521acb6c4d224b4f1808f.jpg?ce=0&s=1024x768
Khách sạn Mường Thanh Luxury Nhật Lệ Quảng Bình (Muong Thanh Luxury Nhat Le Hotel),1061364,https://pix8.agoda.net/hotelImages/1061364/0/06e3fb4b9224a7118b49e3ce917261e9.jpeg?ce=2&s=1024x768
Mercure Đà Nẵng French Village Bà Nà Hills (Mercure Danang French Village Bana Hills),1062253,https://pix8.agoda.net/hotelImages/1062253/0/667fc6851651d91412bfb3293b406d11.jpeg?ce=2&s=1024x768
Novotel Suites Hà Nội (Novotel Suites Hanoi),1122443,https://pix8.agoda.net/hotelImages/112/1122443/1122443_17011811520050380309.jpg?ca=6&ce=1&s=1024x768
Pullman Vũng Tàu (Pullman Vung Tau),1122450,https://pix8.agoda.net/hotelImages/1122450/6610391/87bf06b24f8e33d3a954c9cc0c343042.jpeg?ce=3&s=1024x768
TTC Hotel Deluxe Airport,1155111,https://pix8.agoda.net/hotelImages/1155111/0/abb752a94bd7ed984ddead65d071c229.jpg?ce=3&s=1024x768
Khu nghỉ dưỡng Novotel Phú Quốc (Novotel Phu Quoc Resort),1157572,https://pix8.agoda.net/hotelImages/1157572/0/0f46240e20815d7e96a86326c0944b96.jpeg?ce=2&s=1024x768
Khách sạn New Sun Nha Trang (New Sun Hotel Nha Trang),1158176,https://pix8.agoda.net/hotelImages/1158176/-1/a3f26baaffb93963f86374f2cb61a560.png?ce=0&s=1024x768
Tropicana Resort Phú Quốc (Tropicana Resort Phu Quoc),1158643,https://pix8.agoda.net/hotelImages/115/1158643/1158643_16091616240046550274.jpg?ca=6&ce=1&s=1024x768
Khách sạn Wyndham Legend Hạ Long (Wyndham Legend Halong Hotel),1160137,https://pix8.agoda.net/hotelImages/1160137/0/cb5fd92c32f6cb611ffe9583c6267100.jpeg?ce=2&s=1024x768
Khách sạn Mekong Mỹ Tho (Mekong My Tho Hotel ),1160655,https://pix8.agoda.net/hotelImages/1160655/0/6b1b96570930d74b4415b5307c30e1c4.jpeg?ce=0&s=1024x768
Khách sạn A25 - 221 Bạch Mai (A25 Hotel - 221 Bạch Mai),1165930,https://pix8.agoda.net/hotelImages/1165930/0/7b9769f6f41319fd52c0858992175210.jpg?ce=3&s=1024x768
Riverside Hotel Quang Binh,1174345,https://pix8.agoda.net/hotelImages/117/1174345/1174345_16031610140040796210.jpg?ca=6&ce=1&s=1024x768
Khách sạn A25 - 307 Lý Tự Trọng (A25 Hotel - 307 Lý Tự Trọng),1189049,https://pix8.agoda.net/hotelImages/1189049/0/19b067a8d62955dc9dcf652cdf0868fc.jpg?ce=2&s=1024x768
Khách sạn Gia Huy Riverside Hội An (Gia Huy Riverside Hotel Hoi An),1193207,https://pix8.agoda.net/hotelImages/1193207/0/1fe47e30ce1401372a35ccb88edcd405.jpg?ce=3&s=1024x768
Khách sạn Mường Thanh Luxury Cà Mau (Muong Thanh Luxury Ca Mau Hotel),1195868,https://pix8.agoda.net/hotelImages/1195868/0/60f66d3a39df78e3eea5a2916441bd5b.jpeg?ce=2&s=1024x768
Sunrise Homestay,1233488,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/66563036.jpg?k=18771a09f513e5900a5bdf37b6e6dd989d8b742b3b5bab95a83d2dfc41a49a43&o=
Ha Tien Hanh Phuc Hotel,1285662,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/108798849.jpg?k=3eeea481e7e4eb537521672461c3d2a178d8daf727a48dcc78b3adf353093edf&o=
Khách sạn Boutique Happy Home Vũng Tàu (Happy Home Boutique Hotel Vung Tau ),1370955,https://pix8.agoda.net/hotelImages/1370955/0/9fcb61c4bab9e9aeccc8fd283729198e.jpg?ce=2&s=1024x768
Sheraton Cần Thơ (Sheraton Can Tho),1519798,https://pix8.agoda.net/hotelImages/1519798/577747034/5373809439944245440f6645247dd709.jpeg?ce=2&s=1024x768
FLC Luxury Resort Vĩnh Phúc (FLC Luxury Resort Vinh Phuc),1519974,https://pix8.agoda.net/hotelImages/1519974/-1/c3ee09525b0e49abb83bbbdbeda789cf.jpg?ca=9&ce=1&s=1024x768
FLC Luxury Hotel Quy Nhơn (FLC Luxury Hotel Quy Nhon),1576565,https://pix8.agoda.net/hotelImages/1576565/0/0825101edadfb1399e2c6ca947b0a845.jpeg?s=1024x768
FLC Luxury Resort Quy Nhơn (FLC Luxury Resort Quy Nhon),1602545,https://pix8.agoda.net/hotelImages/1602545/-1/97408899d4ef0c614321c9ab19130702.jpg?ce=0&s=1024x768
Khách sạn ibis Sài Gòn sân bay (ibis Saigon Airport),1602693,https://pix8.agoda.net/hotelImages/21609845/461722294/9dc0545c0ba094f3daeaa4a106b392d4.jpeg?ce=3&s=1024x768
Khách sạn Mường Thanh Grand Tuyên Quang (Muong Thanh Grand Tuyen Quang Hotel),1622072,https://pix8.agoda.net/hotelImages/162/1622072/1622072_16111415050048695591.jpg?ca=6&ce=1&s=1024x768
JW Marriott Phu Quoc Emerald Bay Resort & Spa,1624474,https://pix8.agoda.net/hotelImages/1624474/-1/cfa0f09af9b63d94d249aecf181a8f1e.jpg?ce=0&s=1024x768
Four Seasons Resort The Nam Hai Hoi An Vietnam,1639502,https://pix8.agoda.net/hotelImages/163/1639502/1639502_17032110370051646084.jpg?ca=6&ce=1&s=1024x768
Muong Thanh Luxury Buon Ma Thuot Hotel,1730434,https://pix8.agoda.net/hotelImages/1730434/0/65302a262766e6c2e380ee605fc88075.jpeg?ce=2&s=1024x768
Wyndham Garden Hội An Cửa Đại Beach (Wyndham Garden Hoi An Cua Dai Beach),1803429,https://pix8.agoda.net/hotelImages/1803429/0/22a7392b9d6124e631a06c05f5503c74.jpeg?ce=3&s=1024x768
Khách sạn New Palace (New Palace Bac Lieu Hotel),1809347,https://pix8.agoda.net/hotelImages/1809347/0/6461116900dae95be7cb68fc34ce18bf.jpg?ce=2&s=1024x768
Khách sạn Nam Xuân premium (Nam Xuan premium Hotel),1984283,https://pix8.agoda.net/hotelImages/1984283/0/6075ea1822536667834acdd79ff0c944.jpg?ce=2&s=1024x768
Khách Sạn Mường Thanh Cửa Đông (Muong Thanh Cua Dong Hotel),1984611,https://pix8.agoda.net/hotelImages/1984611/0/77ce5cf226901b9bdcb4e450261c0311.jpeg?s=1024x768
"Khu nghỉ dưỡng & spa Marriott Đà Nẵng, Biệt thự Bãi biển Non Nước (Danang Marriott Resort & Spa, Non Nuoc Beach Villas)",1985160,https://pix8.agoda.net/hotelImages/1985160/0/cdc83f239b6b050b2b4587f6db8be04b.jpeg?ce=2&s=1024x768
Khu nghỉ dưỡng & spa Renaissance Đà Nẵng Hội An (Renaissance Danang Hoi An Resort & Spa),1985188,https://pix8.agoda.net/hotelImages/1985188/-1/4708e88061b609e11e8d859246ae21f5.jpg?ce=0&s=1024x768
Melia Vinpearl Phú Quốc (Melia Vinpearl Phu Quoc),1985199,https://pix8.agoda.net/hotelImages/1985199/0/4582dea53a252674fa623a2724bc4975.jpg?ce=2&s=1024x768
